"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_UN";0,119958683216254;1000;95;0,00689202437604511;0,706312118870825;0,430636884343539;0,944732509787165;0,00427506709735419;0,0199586832162545;0,00492760271574229;19,9586832162545;0,0415600255073772;0,155824479861769;0,155923572235065;0,0635923016614637;2,23888775034717;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0825098673400491;1000;94,8;0,00702111102319284;0,632611748073;0,32431808280182;0,926328235878054;0,00488030179501648;-0,0174901326599509;0,00436450845000307;-17,4901326599509;0,0531854602834994;0,138017875690608;0,133054656106559;-3,59607011716021;2,15700900218542;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,0823618602868244;1000;94,6;0,00714730718522718;0,629562050568132;0,314476899781713;0,922918436777624;0,00493235624449471;-0,0176381397131755;0,00435271598753189;-17,6381397131755;0,0531424972671334;0,137644965284298;0,132529712174111;-3,7162660469432;2,15432354011261;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,10336561210683;996;95,0803212851406;0,00685305191612545;0,68429690752702;0,390640096482761;0,93381887866259;0,00440005605556142;0,00336561210683001;0,00475903357563795;3,36561210683001;0,0460531432177329;0,150192566299911;0,154328486878338;2,75374519546348;2,30371071918733;1;5;25;0,2;3;2;"0.5/0.4";99,6
"CL_GC_both";0,102581447375154;961;89,6982310093652;0,00980587039198134;0,667742604825552;0,278816140656468;1,32228129248715;0,00837544503590594;0,00258144737515361;0,00523833800717623;2,58144737515361;0,0510719561306502;0,162388478222463;0,158343415148996;-2,49097911240067;2,22707896228331;1;5;25;0,2;3;2;"0.5/0.4";96,1
"CL_GC_indep_indv";0,102125529884313;1000;93,4;0,00785136930732467;0,715601307365941;0,357117249743011;1,10294380803814;0,00581668536990687;0,00212552988431274;0,0050371755689918;2,12552988431274;0,049327956889781;0,159289477721687;0,163304405321591;2,52052279744341;2,2942002275144;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,102129443176461;996;88,855421686747;0,00997112399931654;0,684400910949358;0,262137282653152;1,41384932176684;0,00949325771573128;0,00212944317646089;0,00537266958302095;2,12944317646089;0,0526108022618515;0,169558592039817;0,165117794716806;-2,61903408703006;2,18565856354274;1;5;25;0,2;3;2;"0.5/0.4";99,6
"CL_TMLE_indv";0,0975876266611931;1000;93,6;0,0077397674383666;0,602539997776808;0,370960834862373;0,819413354918035;0,00366823572308083;-0,00241237333880687;0,00471905573017098;-2,41237333880688;0,0483631342707173;0,149229645126093;0,13304257796407;-10,8470854757751;1,99467542760225;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0978191824678994;1000;81,8;0,0122014753206323;0,487873223533047;0,230272100493942;0,771505283096313;0,00448528093340304;-0,00218081753210056;0,00510705292836224;-2,18081753210056;0,0522136738998616;0,161499193846574;0,110158748211004;-31,7899083040276;1,52614571080427;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,104623132892579;1000;86,6;0,0107723720693262;0,549574039329505;0,250903384326452;0,793127239337213;0,0045167884916957;0,00462313289257883;0,00512695998090196;4,62313289257883;0,0490259009457356;0,162128710121836;0,1231164052791;-24,0625517919798;1,69904617232368;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,104149720764902;1000;93,3;0,00790638982089803;0,614344894161711;0,375807722315822;0,836602420601809;0,00378516087452612;0,00414972076490199;0,00480819696703907;4,149720764902;0,0461848663323154;0,15204853854557;0,135707819111485;-10,747041431896;1,99692695896544;1;5;25;0,2;3;2;"0.5/0.4";100
"CL_UN";0,119342576797209;1000;93,2;0,00796090447122687;0,640551705438282;0,418888778323678;0,76717732651365;0,00317744832080584;0,0193425767972092;0,00456594964458727;19,3425767972092;0,0387455308984481;0,144388005585321;0,140584499124774;-2,63422605300758;2,17836218763578;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0841205678301698;1000;93,8;0,00762600813007697;0,578681738617415;0,340762564291012;0,759915889325056;0,00366412195672234;-0,0158794321698302;0,00393371326554899;-15,8794321698302;0,0470319074127636;0,124394935811536;0,120592143427391;-3,05703150963189;2,16891847965162;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,083977575540519;1000;93,9;0,00756828910652864;0,576014545691939;0,33879239791194;0,758806453463189;0,00372566928490155;-0,016022424459481;0,00392048076657485;-16,022424459481;0,0469592696125738;0,123976487452595;0,120136761621817;-3,09714036078508;2,16802436222958;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,104021127282277;981;94,3934760448522;0,00734485670006286;0,614593068983;0,351260622303155;0,784470599025092;0,00362946766101886;0,00402112728227702;0,00442165614601176;4,02112728227702;0,042526692619716;0,138490336324113;0,138144109176489;-0,250000943613793;2,25328043100036;2;5;280;0,2;3;2;"0.5/0.4";98,1
"CL_GC_both";0,107746187394086;864;87,8472222222222;0,011115907489391;0,577446740443232;0,237287849587854;1,04488335265745;0,00667875393234658;0,00774618739408635;0,00523127102517486;7,74618739408635;0,048623347128764;0,153767336614616;0,134797979910659;-12,3364019443867;2,11076126013172;2;5;280;0,2;3;2;"0.5/0.4";86,4
"CL_GC_indep_indv";0,104594638956658;1000;91,5;0,00881901355027874;0,671332065690124;0,296493577656417;0,960382854395216;0,00516199223770089;0,00459463895665759;0,00481537485217974;4,59463895665758;0,0460613925428235;0,152275523203846;0,152702376284372;0,280316279034798;2,24383313601003;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,103720664023804;998;88,2765531062124;0,0101832187504231;0,635067695649032;0,196294858662158;1,31831357285197;0,00962892939665551;0,00372066402380358;0,00510886671698539;3,72066402380357;0,0492701089966885;0,161394913468973;0,155624583465529;-3,57528615953138;2,16560158462183;2;5;280;0,2;3;2;"0.5/0.4";99,8
